throughput,congestion,packet_loss,latency,jitter,isRouterV6,Planned route,Percentage video occupancy,Bitrate video,Number videos,anomaly
2.29,11.31,0.0,7.65,0.88,1,1,10,167,2,0
0.65,57.27,7.5,10.86,0.84,0,0,10,167,4,0
2.35,19.63,15.0,9.53,0.87,0,0,20,334,1,0
0.48,35.91,0.0,9.67,0.79,0,0,10,167,1,0
1.62,4.78,0.0,5.04,0.85,1,1,10,167,2,0
1.91,0.06,0.0,10.48,1.43,0,0,0,0,0,0
2.19,0.06,0.0,10.39,3.33,0,0,0,0,0,0
3.34,0.12,0.0,7.68,4.45,1,1,0,0,2,0
0.82,79.66,45.0,10.32,1.11,0,0,80,1336,1,0
2.5,0.1,0.0,7.27,0.55,1,1,0,0,0,0
0.4,74.44,0.0,10.3,0.76,0,0,80,1336,2,0
1.33,0.08,0.0,5.26,0.8,1,1,0,0,0,0
2.46,20.3,2.5,9.8,0.55,0,0,20,334,1,0
2.36,0.11,0.0,10.25,0.44,0,0,0,0,2,0
0.57,58.79,0.0,11.26,1.5,0,0,10,167,4,0
3.33,59.03,22.5,10.7,0.38,0,0,80,1336,2,0
0.29,96.61,0.0,5.53,0.73,1,1,100,1670,1,0
1.47,71.65,0.0,9.59,1.2,0,0,80,1336,2,0
0.23,23.6,15.0,7.61,0.3,1,1,80,1336,2,0
2.61,10.24,0.0,7.12,0.65,1,1,10,167,1,0
1.79,20.53,2.5,6.98,0.88,1,1,20,334,2,0
2.09,0.09,0.0,7.49,0.39,1,1,0,0,0,0
1.46,74.26,0.0,7.81,0.95,1,1,80,1336,1,0
2.16,0.08,0.0,7.72,0.44,1,1,10,167,2,0
2.18,15.91,0.0,5.57,2.42,1,1,10,167,1,0
1.69,19.62,0.0,5.41,0.54,1,1,20,334,1,0
2.52,0.11,0.0,7.14,0.44,1,1,0,0,0,0
1.48,9.67,0.0,11.17,0.95,0,0,10,167,1,0
2.66,30.07,0.0,9.92,0.53,0,0,10,167,3,0
0.23,80.15,0.0,10.73,0.8,0,0,80,1336,1,0
2.41,51.3,0.0,7.16,0.6,1,1,50,835,1,0
1.86,0.06,0.0,7.49,0.67,1,1,0,0,0,0
1.83,0.53,0.0,10.4,5.58,0,0,0,0,0,0
0.13,56.92,42.5,1031.6,0.46,1,1,120,2004,2,1
0.41,83.36,0.0,7.31,0.59,1,1,80,1336,1,0
2.43,0.07,0.0,7.09,0.83,1,1,0,0,0,0
2.39,0.07,0.0,10.78,1.09,0,0,0,0,0,0
2.75,0.07,0.0,7.9,0.53,1,1,80,1336,2,0
2.35,1.33,0.0,10.53,0.7,0,0,50,835,2,0
2.75,0.05,0.0,5.89,0.37,1,1,0,0,0,0
2.33,9.8,0.0,6.99,0.75,1,1,10,167,1,0
3.35,0.32,17.5,5.89,0.42,1,1,0,0,0,0
3.34,10.12,7.5,6.55,1.7,1,1,10,167,1,0
0.85,44.35,7.5,10.77,1.14,0,0,10,167,3,0
1.18,112.89,30.0,5.73,0.5,1,1,120,2004,1,1
1.18,113.21,27.500000000000004,1037.03,1.39,1,1,100,1670,1,1
2.44,24.11,0.0,10.23,0.78,0,0,10,167,2,0
1.49,0.09,0.0,10.64,0.44,0,0,0,0,0,0
1.64,19.59,0.0,5.4,0.44,1,1,20,334,2,0
0.83,48.08,2.5,9.5,1.02,0,0,10,167,4,0
1.69,0.08,0.0,11.1,0.59,0,0,0,0,0,0
0.11,110.19,52.5,10.25,0.37,0,0,80,1336,2,1
1.43,75.59,12.5,5.41,0.87,1,1,80,1336,1,0
2.25,0.06,0.0,10.33,1.4,0,0,0,0,0,0
2.71,0.03,0.0,5.46,0.31,1,1,0,0,0,0
1.42,0.08,0.0,5.75,0.39,1,1,0,0,0,0
2.12,0.13,0.0,10.76,0.73,0,0,0,0,0,0
2.24,0.06,0.0,5.8,0.56,1,1,0,0,0,0
1.47,14.48,7.5,5.59,0.71,1,1,10,167,1,0
2.72,11.42,0.0,10.61,0.95,0,0,10,167,1,0
1.3,81.87,35.0,1034.28,0.28,1,1,120,2004,1,1
2.0,0.05,0.0,5.57,0.43,1,1,0,0,0,0
2.45,20.03,10.0,7.47,0.61,1,1,20,334,2,0
1.9,13.07,0.0,4.58,0.62,1,1,10,167,1,0
1.9,0.05,15.0,10.73,7.25,0,0,0,0,0,0
2.66,19.68,0.0,8.91,0.63,0,0,20,334,1,0
1.39,5.2,0.0,15.55,0.77,0,0,10,167,2,0
0.26,63.21,27.500000000000004,9.86,1.33,0,0,50,835,2,0
1.87,0.08,17.5,5.86,0.42,1,1,0,0,0,0
1.46,21.12,0.0,6.63,0.66,1,1,20,334,2,0
2.73,0.07,0.0,7.47,0.54,1,1,0,0,0,0
1.72,111.39,15.0,5.43,0.53,1,1,120,2004,2,0
0.94,20.38,0.0,7.53,0.8,1,1,20,334,2,0
2.97,14.11,7.5,9.93,0.48,0,0,10,167,2,0
0.62,117.92,0.0,5.14,0.44,1,1,120,2004,1,0
0.11,126.04,0.0,5.29,0.98,1,1,120,2004,1,1
2.37,0.07,0.0,11.41,0.56,0,0,0,0,0,0
2.43,0.09,0.0,6.08,0.36,1,1,0,0,0,0
2.68,20.5,0.0,8.58,1.41,1,1,20,334,2,0
2.55,0.05,0.0,7.45,2.22,1,1,0,0,1,0
2.25,0.07,0.0,10.77,4.2,0,0,0,0,0,0
1.83,0.08,0.0,5.62,0.38,1,1,0,0,0,0
0.45,55.97,30.0,6.2,0.4,1,1,100,1670,1,0
2.66,0.12,0.0,5.62,0.67,1,1,0,0,0,0
3.51,13.77,0.0,7.7,1.14,1,1,10,167,1,0
2.94,19.9,17.5,6.92,0.61,1,1,20,334,2,0
3.1,9.96,10.0,10.36,1.31,0,0,10,167,1,0
2.13,16.11,0.0,11.32,0.62,0,0,10,167,1,0
1.13,34.47,7.5,11.76,1.14,0,0,50,835,1,0
2.07,10.15,5.0,7.5,3.29,1,1,10,167,1,0
1.16,58.59,5.0,1009.98,1.64,1,1,100,1670,1,1
0.93,77.34,7.5,4.72,0.32,1,1,50,835,2,0
2.45,9.85,15.0,7.16,0.8,1,1,10,167,2,0
2.73,14.32,5.0,5.6,0.42,1,1,10,167,1,0
1.11,113.3,12.5,10.06,1.56,0,0,100,1670,1,1
1.29,20.47,0.0,5.47,0.45,1,1,20,334,2,0
2.41,0.12,0.0,10.27,1.15,0,0,0,0,0,0
2.72,0.11,0.0,5.67,0.51,1,1,0,0,0,0
2.7,0.55,0.0,5.6,0.27,1,1,0,0,0,0
1.63,11.11,5.0,10.9,0.54,0,0,10,167,2,0
1.95,4.31,0.0,10.18,0.73,0,0,10,167,1,0
2.63,57.1,17.5,7.15,0.77,1,1,50,835,1,0
2.63,0.06,0.0,10.64,0.5,0,0,0,0,0,0
1.22,110.3,17.5,5.81,0.35,1,1,80,1336,1,1
2.35,0.07,0.0,10.5,0.42,0,0,0,0,0,0
1.18,110.45,15.0,10.45,0.87,0,0,100,1670,1,0
2.72,53.98,7.5,6.35,0.89,1,1,50,835,2,0
2.38,60.52,15.0,10.34,4.16,0,0,10,167,6,0
1.94,0.08,0.0,6.92,0.66,1,1,0,0,0,0
0.16,64.29,7.5,1043.53,0.36,0,0,50,835,2,1
